	C1	C2	C3	C4	C5	C6	C7	E1	E2	E3	E4	E5	E6	
T1	0	0	0	0	0	0	0	0	0	0	0	0	0	
T2	0	0	0	0	0	0	1	0	0	0	1	1	0	
T3	0	0	0	0	0	1	0	0	0	0	0	0	1	
T4	0	0	0	0	1	0	0	0	0	0	0	0	0	
T5	0	0	0	0	1	0	1	0	0	0	1	1	0	
T6	0	0	0	0	1	1	0	0	0	0	0	0	1	
T7	0	0	1	0	0	0	0	0	0	1	0	0	0	
T8	0	0	1	0	0	0	1	0	0	1	1	1	0	
T9	0	0	1	0	0	1	0	0	0	1	0	0	1	
T10	0	0	1	0	1	0	0	0	0	1	0	0	0	
T11	0	0	1	0	1	0	1	0	0	1	1	1	0	
T12	0	0	1	0	1	1	0	0	0	1	0	0	1	
T13	0	0	1	1	0	0	0	0	0	1	0	0	0	
T14	0	0	1	1	0	0	1	0	0	1	1	1	0	
T15	0	0	1	1	0	1	0	0	0	1	0	0	1	
T16	0	0	1	1	1	0	0	0	1	1	0	0	0	
T17	0	0	1	1	1	0	1	0	1	1	1	1	0	
T18	0	0	1	1	1	1	0	0	1	1	0	0	1	
T19	0	1	0	0	0	0	0	0	0	1	0	0	0	
T20	0	1	0	0	0	0	1	0	0	1	1	1	0	
T21	0	1	0	0	0	1	0	0	0	1	0	0	1	
T22	0	1	0	0	1	0	0	0	0	1	0	0	0	
T23	0	1	0	0	1	0	1	0	0	1	1	1	0	
T24	0	1	0	0	1	1	0	0	0	1	0	0	1	
T25	1	0	0	0	0	0	0	1	0	0	0	0	0	
T26	1	0	0	0	0	0	1	1	0	0	1	1	0	
T27	1	0	0	0	0	1	0	1	0	0	0	0	1	
T28	1	0	0	0	1	0	0	1	0	0	0	0	0	
T29	1	0	0	0	1	0	1	1	0	0	1	1	0	
T30	1	0	0	0	1	1	0	1	0	0	0	0	1	
